CompanyCode,Material_Description
1054,POTATO DERBY MH16 G3 GRADE M3
1054,POTATO CHIP-1 D G2 GRADE M1
1054,POTATO HZD MH24 G1 GRADE M7
1054,POTATO MEMPHIS MH08 G2 GRADE M4
1054,POTATO COLOMBA MH11 GRADE M2
1054,POTATO LUCINDA MH07 G3 GRADE M7
1054,Potato MH5-M02
1054,POTATO COLOMBA MH11 G2 GRADE M1
1054,POTATO MEMPHIS MH08 G1 GRADE M1
1054,POTATO COLOMBA MH11 G2 GRADE M3
1054,POTATO LADYROSSETTA I G3 GRADE M4
1054,POTATO PANAMERA MH06 G2 GRADE M2
1054,POTATO IVORYRUSSET MH17 G2 GRADE M5
1054,POTATO SAGGITTA MINI GRADE S03
1054,POTATO COLOMBA MH11 GRADE M13
1054,Potato LR I -M4
1054,POTATO TAURUS MH05 G2 GRADE M5
1054,POTATO ATLANTIC K G1 GRADE M3
1054,Potato Research & Development  -M 6
1054,POTATO LAUVKAR F G3 GRADE M4
1054,POTATO TAURUS MH05 G3 GRADE M3
1054,Potato Chipsona 1 D -M1
1054,POTATO LADYROSSETTA I G4 GRADE M1
1054,POTATO PANAMERA MH06 G3 GRADE M2
1054,POTATO PUKHRAJ H G1 GRADE M12
1054,POTATO LADYROSSETTA I G1 GRADE M1
1054,POTATO COURAGE MH18 G2 GRADE M3
1054,POTATO DERBY MH16 G3 GRADE M5
1054,POTATO ALVERSTONE RUSSET MH23 Grade TCP
1054,POTATO JYOTI G G1 GRADE M12
1054,POTATO PERDIZ MH22 G1 GRADE M1
1054,POTATO SURYA R G3 GRADE M9
1054,POTATO COLOMBA MH11 G3 GRADE M2A
1054,POTATO KCM C0 Grade M13
1054,POTATO INNOVATOR MH15 Grade M8
1054,Potato LR I -M11
1054,POTATO MEMPHIS MINI GRADE S03 MH08
1054,POTATO COLOMBA MH11 G3 GRADE M2B
1054,POTATO SURYA R G3 GRADE M7
1054,POTATO INNOVATOR MH15 Grade M0
1054,POTATO SAGITTA MH04 G3 GRADE M1
1054,POTATO TAURUS MH05 G3 GRADE M8
1054,POTATO CHIP-1 D G3 GRADE M6
1054,POTATO SYLVANA MH39 G1 GRADE M1
1054,POTATO COLOMBA MH11 G3 GRADE M4
1054,POTATO PUKHRAJ H G2 GRADE M12
1054,POTATO COLOMBA MH11 GRADE M11
1054,POTATO PUKHRAJ H G2 GRADE M11
1054,Potato Surya R -M1
1054,POTATO LAUVKAR F G2 GRADE M1
1054,POTATO PANAMERA MH06 G2 GRADE M7
1054,Potato Colmba -TCP
1054,POTATO COLOMBA MH11 G3 GRADE M6
1054,Potato LADYROSSETTA I GRADE M4
1054,POTATO PANAMERA MH06 G3 GRADE M7
1054,POTATO BADSHAH A G3 GRADE M1
1054,POTATO COLOMBA MH11 G3 GRADE M9
1054,POTATO SUNRED MH27 G2 GRADE M1
1054,POTATO MULBERRY MH30 G1 GRADE M7
1054,Potato LADYROSSETTA I GRADE M3
1054,POTATO JYOTI G G2 GRADE M13
1054,Potato MH8-M03
1054,POTATO COLOMBA MH11 GRADE M12
1054,POTATO COLOMBA MH11 GRADE M0
1054,POTATO SUNRED MH27 GRADE M2
1054,POTATO INNOVATOR MH15 G2 GRADE M1
1054,POTATO MEMPHIS MH08 G3 GRADE M3
1054,POTATO IVORY RUSSET MH17 Grade M5
1054,POTATO CHIP-3 E G3 GRADE M7
1054,POTATO PERDIZ MH22 G2 GRADE M7
1054,POTATO COLOMBA MH11 G3 GRADE M13
1054,POTATO LADYROSSETTA I G2 GRADE M3
1054,POTATO LADYROSSETTA I G3 GRADE M2
1054,POTATO PANAMERA MH06 G2 GRADE M1
1054,POTATO PANAMERA MH06 G2 GRADE M3
1054,POTATO LAUVKAR F G3 GRADE M2
1054,POTATO SURYA R G2 GRADE M1
1054,POTATO TIGER MH26 G2 GRADE M5
1054,POTATO RED SCAR MH38 G2 GRADE M2
1054,POTATO ATLANTIC MINI GRADE S03 K
1054,POTATO IVORY RUSSET MH17 Grade M4
1054,POTATO PANAMERA MH06 G3 GRADE M5
1054,POTATO KCM C G2 GRADE M4
1054,POTATO PRIMABELLE MH29 G1 GRADE M4
1054,POTATO SURYA R G2 GRADE M7
1054,Potato Jyoti G -M12
1054,POTATO LAUVKAR F G3 GRADE M11
1054,POTATO ALCANDER MH19 G1 GRADE M1
1054,POTATO BADSHAH A G2 GRADE M7
1054,POTATO TAURUS MH05 GRADE M0
1054,POTATO ATLANTIC K G2 GRADE M7
1054,POTATO COLOMBA MH11 G3 GRADE M2
1054,POTATO SUNITA MH28 GRADE M3
1054,Potato Chipsona 1 D -M4
1054,Potato Chandramukhi C -M11
1054,POTATO KCM C G2 GRADE M5
1054,POTATO MEMPHIS MH08 G3 GRADE M1
1054,POTATO COLOMBA MH11 G3 GRADE M11
1054,POTATO PUKHRAJ H G1 GRADE M1
1054,POTATO LADYROSSETTA I G2 GRADE M2
1054,Potato Badshah A -M5
1054,POTATO COURAGE MH18 G3 GRADE M2
1054,POTATO TAURUS MH05 G3 GRADE M5
1054,POTATO JYOTI G G2 GRADE M11
1054,Potato LR I -M6
1054,POTATO MEMPHIS MH08 G3 GRADE M2
1054,POTATO SUNRED MH27 GRADE M12
1054,
1054,POTATO KCM C G3 GRADE M3
1054,POTATO SAGITTA MH04 G3 GRADE M0
1054,POTATO LAUVKAR F G1 GRADE M4
1054,POTATO SUNRED MH27 G3 GRADE M2A
1054,POTATO DELIARED MH21 G2 GRADE M12
1054,POTATO LADYROSSETTA I G4 GRADE M7
1054,POTATO IVORY RUSSET MINI GRADE S04
1054,POTATO PANAMERA MH06 G3 GRADE M6
1054,POTATO SIFRA MH34 G3 GRADE M12
1054,POTATO SAGITTA MH04 G3 GRADE M5
1054,POTATO SIFRA MH34 G3 GRADE M11
1054,POTATO INNOVATOR MH15 Grade M10
1054,POTATO LAUVKAR F G3 GRADE M5
1054,POTATO SIFRA MH34 G3 GRADE M6
1054,POTATO PRIMABELLE MH29 GRADE M2
1054,Potato Research & Development  -Mix Grad
1054,POTATO SUNRED MINI GRADE S03 MH27
1054,POTATO PANAMERA MH06 G3 GRADE M1
1054,POTATO CHIP-1 D G3 GRADE M1
1054,POTATO SUNRED MH27 G1 GRADE M1
1054,Potato Atlantic K -M5
1054,POTATO CHIP-1 D G3 GRADE M5
1054,Potato Lauvkar F -M4
1054,POTATO KARODA ZG G3 GRADE M11
1054,Potato MH4-M04
1054,POTATO PRIMABELLE MH29 G1 GRADE M1
1054,POTATO PRIMABELLE MH29 GRADE M0
1054,Potato MH4-M07
1054,POTATO HIMALINI ZI G2 GRADE M2
1054,POTATO VEENA MH03 G3 GRADE M1
1054,Potato LADYROSSETTA I GRADE M2
1054,POTATO COLOMBA MH11 G1 GRADE M1
1054,POTATO LADYROSSETTA I G3 GRADE M3
1054,POTATO COLOMBA Grade M12
1054,POTATO ATLANTIC K G1 GRADE M1
1054,Potato MH4-M06
1054,POTATO KCM C G3 GRADE M2
1054,POTATO SAGITTA MH04 G2 GRADE M7
1054,Potato Chandramukhi C -M1
1054,Potato Jyoti G -M1
1054,POTATO ATLANTIC K G3 GRADE M7
1054,POTATO SAGITTA MH04 G3 GRADE M4
1054,POTATO CHIP-3 E G3 GRADE M1
1054,POTATO PANAMERA MH06 G2 GRADE M5
1054,POTATO COLOMBA MH11 GRADE M3
